2024/06/09 00:52:25 [Temperature Controller]  The temperature is quite suitable for plants' growth.
2024/06/09 00:52:26 [Event]                   Temperature change from 80 °F to 108 °F
2024/06/09 00:52:26 [Water Sensor]            Hydrangea's water level has been updated, it's current water level is 50
2024/06/09 00:52:26 [Temperature Controller]  Warning: Temperature has exceeded the high limit of 104 °F.
2024/06/09 00:52:26 [Temperature Controller]  Cooler is on.
2024/06/09 00:52:26 [Event]                   Weather change to Rainy, the amount of rain is 10
2024/06/09 00:52:26 [Temperature Controller]  Cooling: Current temperature is 100 °F.
2024/06/09 00:52:26 [Temperature Controller]  Cooling: Current temperature is 90 °F.
2024/06/09 00:52:26 [Temperature Controller]  Cooling: Current temperature is 80 °F.
2024/06/09 00:52:26 [Temperature Controller]  Cooling: Current temperature is 77 °F.
2024/06/09 00:52:26 [Temperature Controller]  Cooler is off. Temperature adjusted to optimal level: 77 °F.
2024/06/09 00:52:26 [Event]                   31 Whitefly attack to the garden, but no plant is attacked
2024/06/09 00:52:46 [Event]                   ========== Day 2 starts. ==========
2024/06/09 00:52:46 [Event]                   Daily water level decrease applied. 
2024/06/09 00:52:46 [Event]                   Weather is Rainy, the amount of rain is 23
2024/06/09 00:52:46 [Water Controller]        Rose water level is 40, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:52:46 [Water Controller]        Peach water level is 95, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:52:46 [Water Controller]        Cherry water level is 95, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:52:46 [Water Controller]        CherryTomato water level is 75, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:52:46 [Water Controller]        ChiliPepper water level is 75, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:52:46 [Water Controller]        Hydrangea water level is 45, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:52:46 [Event]                   Temperature change from 108 °F to 93 °F
2024/06/09 00:52:46 [API]                     Temperature Event: Temperature is 60
2024/06/09 00:52:46 [Temperature Controller]  The temperature is quite suitable for plants' growth.
2024/06/09 00:52:46 [Event]                   Temperature change from 93 °F to 60 °F
2024/06/09 00:52:46 [Temperature Controller]  The temperature is quite suitable for plants' growth.
2024/06/09 00:52:46 [API]                     Pest Attack Event: Releasing Aphid
2024/06/09 00:52:46 [Event]                   4 Spider attack to Cherry in plot 3
2024/06/09 00:52:46 [Event]                   45 Aphid attack to Cherry in plot 3
2024/06/09 00:52:46 [Pest Sensor]             Cherry is being attacked by 4 Spiders!
2024/06/09 00:52:46 [Pest Sensor]             Cherry is being attacked by 45 Aphids!
2024/06/09 00:52:46 [Pest Controller]         Deploying 45 ladybugs to help Cherry fight off the pests.
2024/06/09 00:52:46 [Pest Controller]         Deploying 45 ladybugs to help Cherry fight off the pests.
2024/06/09 00:52:46 [Pest Sensor]             No pest attack detected on Cherry.
2024/06/09 00:52:46 [Pest Sensor]             No pest attack detected on Cherry.
2024/06/09 00:53:06 [Event]                   ========== Day 3 starts. ==========
2024/06/09 00:53:06 [Event]                   Daily water level decrease applied. 
2024/06/09 00:53:06 [Event]                   Weather is Sunny
2024/06/09 00:53:06 [Event]                   Temperature change from 60 °F to 87 °F
2024/06/09 00:53:06 [Temperature Controller]  The temperature is quite suitable for plants' growth.
2024/06/09 00:53:06 [Event]                   2 Spider attack to Rose in plot 1
2024/06/09 00:53:06 [Pest Sensor]             Rose is being attacked by 2 Spiders!
2024/06/09 00:53:06 [Pest Controller]         Deploying 2 ladybugs to help Rose fight off the pests.
2024/06/09 00:53:06 [Pest Sensor]             No pest attack detected on Rose.
2024/06/09 00:53:06 [API]                     Temperature Event: Temperature is 100
2024/06/09 00:53:06 [Event]                   Temperature change from 87 °F to 100 °F
2024/06/09 00:53:06 [Temperature Controller]  The temperature is quite suitable for plants' growth.
2024/06/09 00:53:06 [API]                     Rainy Event: Rain amount is 20
2024/06/09 00:53:06 [Water Controller]        Rose water level is 35, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:53:06 [Water Controller]        Peach water level is 90, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:53:06 [Water Controller]        Cherry water level is 90, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:53:06 [Water Controller]        CherryTomato water level is 70, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:53:06 [Water Controller]        ChiliPepper water level is 70, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:53:06 [Water Controller]        Hydrangea water level is 40, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:53:06 [Event]                   Weather change to Rainy, the amount of rain is 20
2024/06/09 00:53:26 [Event]                   ========== Day 4 starts. ==========
2024/06/09 00:53:26 [Event]                   Daily water level decrease applied. 
2024/06/09 00:53:26 [Event]                   Weather is Rainy, the amount of rain is 24
2024/06/09 00:53:26 [Water Controller]        Rose water level is 30, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        Peach water level is 85, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        Cherry water level is 85, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        CherryTomato water level is 65, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        ChiliPepper water level is 65, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        Hydrangea water level is 35, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Event]                   Temperature change from 100 °F to 111 °F
2024/06/09 00:53:26 [Temperature Controller]  Warning: Temperature has exceeded the high limit of 104 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooler is on.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 110 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 100 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 90 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 80 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 77 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooler is off. Temperature adjusted to optimal level: 77 °F.
2024/06/09 00:53:26 [Event]                   57 Whitefly attack to CherryTomato in plot 4
2024/06/09 00:53:26 [Pest Sensor]             CherryTomato is being attacked by 57 Whiteflys!
2024/06/09 00:53:26 [Pest Controller]         Applying pesticide to help CherryTomato restore health.
2024/06/09 00:53:26 [Pest Sensor]             No pest attack detected on CherryTomato.
2024/06/09 00:53:26 [API]                     Temperature Event: Temperature is 120
2024/06/09 00:53:26 [Event]                   Temperature change from 111 °F to 120 °F
2024/06/09 00:53:26 [Temperature Controller]  Warning: Temperature has exceeded the high limit of 104 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooler is on.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 110 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 100 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 90 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 80 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooling: Current temperature is 77 °F.
2024/06/09 00:53:26 [Temperature Controller]  Cooler is off. Temperature adjusted to optimal level: 77 °F.
2024/06/09 00:53:26 [API]                     Rainy Event: Rain amount is 20
2024/06/09 00:53:26 [Water Sensor]            Rose's water level has been updated, it's current water level is 50
2024/06/09 00:53:26 [Water Controller]        Peach water level is 85, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        Cherry water level is 85, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        CherryTomato water level is 65, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        ChiliPepper water level is 65, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Water Controller]        Hydrangea water level is 35, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:53:26 [Event]                   Weather change to Rainy, the amount of rain is 20
